"","year","winner","winner_party","pv_percent","pv_percent_margin","pv","pv_margin","loser","loser_party","turnout","winner_ec","loser_ec"
"1",1824,"John Quincy Adams","D.-R.",0.3092,-0.1044,113142,-38221,"Andrew Jackson","D.-R.",0.269,84,99
"2",1828,"Andrew Jackson","Dem.",0.5593,0.1225,642806,140839,"John Quincy Adams","N. R.",0.576,178,83
"3",1832,"Andrew Jackson","Dem.",0.5474,0.1781,702735,228628,"Henry Clay","N.R.",0.554,219,49
"4",1836,"Martin Van Buren","Dem.",0.5079,0.142,763291,213384,"William Henry Harrison","Whig",0.578,170,73
"5",1840,"William Henry Harrison","Whig",0.5287,0.0605,1275583,145938,"Martin Van Buren","Dem.",0.802,234,60
"6",1844,"James Polk","Dem.",0.4954,0.0145,1339570,39413,"Henry Clay","Whig",0.789,170,105
"7",1848,"Zachary Taylor","Whig",0.4728,0.0479,1360235,137882,"Lewis Cass","Dem.",0.727,163,127
"8",1852,"Franklin Pierce","Dem.",0.5083,0.0695,1605943,219525,"Winfield Scott","Whig",0.696,254,42
"9",1856,"James Buchanan","Dem.",0.4529,0.122,1835140,494472,"John Frémont","Rep.",0.789,174,114
"10",1860,"Abraham Lincoln","Rep.",0.3965,0.1013,1855993,474049,"John Breckinridge","Dem.",0.812,180,72
"11",1864,"Abraham Lincoln","Rep.",0.5503,0.1008,2211317,405090,"George McClellan","Dem.",0.738,212,21
"12",1868,"Ulysses Grant","Rep.",0.5266,0.0532,3013790,304810,"Horatio Seymour","Dem.",0.781,214,80
"13",1872,"Ulysses Grant","Rep.",0.5558,0.118,3597439,763729,"Horace Greeley","L. R.",0.713,286,0
"14",1876,"Rutherford Hayes","Rep.",0.4792,-0.03,4034142,-252666,"Samuel Tilden","Dem.",0.818,185,184
"15",1880,"James Garfield","Rep.",0.4831,9e-04,4453337,1898,"Winfield Scott Hancock","Dem.",0.794,214,155
"16",1884,"Grover Cleveland","Dem.",0.4885,0.0057,4914482,57579,"James Blaine","Rep.",0.775,219,182
"17",1888,"Benjamin Harrison","Rep.",0.478,-0.0083,5443633,-94530,"Grover Cleveland","Dem.",0.793,233,168
"18",1892,"Grover Cleveland","Dem.",0.4602,0.0301,5553898,363099,"Benjamin Harrison","Rep.",0.747,277,145
"19",1896,"William McKinley","Rep.",0.5102,0.0431,7112138,601331,"William Jennings Bryan","Dem.",0.793,271,176
"20",1900,"William McKinley","Rep.",0.5164,0.0612,7228864,857932,"William Jennings Bryan","Dem.",0.732,292,155
"21",1904,"Theodore Roosevelt","Rep.",0.5642,0.1883,7630557,2546677,"Alton Brooks Parker","Dem.",0.652,336,140
"22",1908,"William Taft","Rep.",0.5157,0.0853,7678335,1269356,"William Jennings Bryan","Dem.",0.654,321,162
"23",1912,"Woodrow Wilson","Dem.",0.4184,0.1444,6296284,2173563,"Theodore Roosevelt","Prog.",0.588,435,88
"24",1916,"Woodrow Wilson","Dem.",0.4924,0.0312,9126868,578140,"Charles Evans Hughes","Rep.",0.616,277,254
"25",1920,"Warren Harding","Rep.",0.6032,0.2617,16144093,7004432,"James Cox","Dem.",0.492,404,127
"26",1924,"Calvin Coolidge","Rep.",0.5404,0.2522,15723789,7337547,"John Davis","Dem.",0.489,382,136
"27",1928,"Herbert Hoover","Rep.",0.5821,0.1741,21427123,6411659,"Al Smith","Dem.",0.569,444,87
"28",1932,"Franklin Roosevelt","Dem.",0.5741,0.1776,22821277,7060023,"Herbert Hoover","Rep.",0.569,472,59
"29",1936,"Franklin Roosevelt","Dem.",0.608,0.2426,27752648,11070786,"Alf Landon","Rep.",0.61,523,8
"30",1940,"Franklin Roosevelt","Dem.",0.5474,0.0996,27313945,4966201,"Wendell Willkie","Rep.",0.625,449,82
"31",1944,"Franklin Roosevelt","Dem.",0.5339,0.075,25612916,3594987,"Thomas Dewey","Rep.",0.559,432,99
"32",1948,"Harry Truman","Dem.",0.4955,0.0448,24179347,2188055,"Thomas Dewey","Rep.",0.53,303,189
"33",1952,"Dwight Eisenhower","Rep.",0.5518,0.1085,34075529,6700439,"Adlai Stevenson","Dem.",0.633,442,89
"34",1956,"Dwight Eisenhower","Rep.",0.5737,0.154,35579180,9551152,"Adlai Stevenson","Dem.",0.606,457,73
"35",1960,"John Kennedy","Dem.",0.4972,0.0017,34220984,112827,"Richard Nixon","Rep.",0.6277,303,219
"36",1964,"Lyndon Johnson","Dem.",0.6105,0.2258,43127041,15951287,"Barry Goldwater","Rep.",0.6192,486,52
"37",1968,"Richard Nixon","Rep.",0.4342,0.007,31783783,511944,"Hubert Humphrey","Dem.",0.6084,301,191
"38",1972,"Richard Nixon","Rep.",0.6067,0.2315,47168710,17995488,"George McGovern","Dem.",0.5521,520,17
"39",1976,"Jimmy Carter","Dem.",0.5008,0.0206,40831881,1683247,"Gerald Ford","Rep.",0.5355,297,240
"40",1980,"Ronald Reagan","Rep.",0.5075,0.0974,43903230,8423115,"Jimmy Carter","Dem.",0.5256,489,49
"41",1984,"Ronald Reagan","Rep.",0.5877,0.1821,54455472,16878120,"Walter Mondale","Dem.",0.5311,525,13
"42",1988,"George H. W. Bush","Rep.",0.5337,0.0772,48886597,7077121,"Michael Dukakis","Dem.",0.5015,426,111
"43",1992,"Bill Clinton","Dem.",0.4301,0.0556,44909806,5805256,"George H. W. Bush","Rep.",0.5523,370,168
"44",1996,"Bill Clinton","Dem.",0.4923,0.0851,47400125,8201370,"Bob Dole","Rep.",0.4908,379,159
"45",2000,"George W. Bush","Rep.",0.4787,-0.0051,50460110,-543816,"Al Gore","Dem.",0.513,271,266
"46",2004,"George W. Bush","Rep.",0.5073,0.0246,62040610,3012171,"John Kerry","Dem.",0.5527,286,251
"47",2008,"Barack Obama","Dem.",0.5293,0.0727,69498516,9550193,"John McCain","Rep.",0.5823,365,173
"48",2012,"Barack Obama","Dem.",0.5106,0.0386,65915796,4982296,"Mitt Romney","Rep.",0.5487,332,206
